,mean,lower_interval,upper_interval
Execution,0.5706151892869873,0.5097423547315022,0.6314880238424723
Discovery,0.604161786188324,0.4961160325272238,0.712207539849424
Persistence,0.47565779734802244,0.369031414840701,0.5822841798553438
Harmless,0.29187520097221376,0.2319081717762312,0.35184223016819627
Defense Evasion,0.4446943068019256,0.3978973646883254,0.49149124891552587
Impact,0.21966713642320554,0.04486335434392569,0.3944709185024853
Other,0.17233679374075317,0.031461160812378125,0.31321242666912813
